,conversationId,movie_sent,sequence
0,0,"[('1210', 1, 'S'), ('273', 1, 'S'), ('273', 1, 'N'), ('845', 1, 'S'), ('1863', 1, 'S'), ('663', 1, 'N'), ('192', 1, 'S'), ('1775', 1, 'N'), ('1070', 1, 'S'), ('1210', 1, 'S')]",[SKR] [EG2] [EG41] [EG44] [REC] [I1210] [I273] [EG2] [EG44] [SKR] [I273] [REC] [EA3558] [SKR] [EA3558] [REC] [EA459] [EA270] [EA459] [I845] [EG2] [I1863] [EG2] [SKR] [I663] [REC] [I192] [SKR] [I1775] [REC] [I1070] [EG2] [EG44] [I1210]
1,1,"[('57', 1, 'S'), ('472', 1, 'S'), ('472', 1, 'S'), ('472', 1, 'S'), ('472', 1, 'N'), ('472', 1, 'S'), ('472', 1, 'S'), ('352', 1, 'S'), ('472', 1, 'S'), ('472', 1, 'S')]",[REC] [I57] [I472] [I472] [I472] [EG25] [SKR] [I472] [REC] [I472] [EA3058] [I472] [I352] [I472] [I472]
2,2,"[('832', 1, 'S')]",[SKR] [EG3] [REC] [EG3] [SKR] [EG3] [REC] [I832]
3,3,"[('120', 1, 'S'), ('11', 1, 'S'), ('120', 1, 'S'), ('11', 1, 'S'), ('11', 1, 'N'), ('1067', 1, 'N'), ('9', 1, 'S'), ('594', 1, 'S')]",[SKR] [EG20] [REC] [I120] [I11] [I120] [I11] [SKR] [I11] [EG20] [I1067] [REC] [I9] [EG20] [I594] [EG20]
4,4,"[('91', 1, 'S'), ('579', 1, 'S'), ('566', 1, 'S'), ('91', 1, 'S')]",[REC] [I91] [EA911] [I579] [I566] [I91]
5,5,"[('943', 1, 'N'), ('637', 1, 'S'), ('1212', 1, 'S'), ('38', 1, 'S'), ('38', 1, 'N'), ('1212', 1, 'N'), ('38', 1, 'S'), ('38', 1, 'N'), ('720', 1, 'S'), ('562', 1, 'N')]",[REC] [EG3] [EG41] [EG20] [SKR] [EG3] [REC] [EG3] [SKR] [EG3] [I943] [REC] [I637] [I1212] [I38] [SKR] [I38] [I1212] [REC] [I38] [SKR] [I38] [EA1588] [EG3] [REC] [I720] [SKR] [I562]
6,6,"[('1470', 1, 'N'), ('1067', 1, 'N'), ('1404', 1, 'S'), ('1683', 1, 'S')]",[SKR] [EG20] [I1470] [EG20] [REC] [EG7] [EG66] [SKR] [I1067] [EG65] [EG20] [EG65] [REC] [EG25] [EG20] [I1404] [I1683] [SKR] [EA369]
7,7,"[('870', 1, 'N'), ('969', 1, 'S'), ('870', 1, 'S'), ('600', 1, 'S'), ('600', 1, 'N'), ('337', 1, 'S'), ('337', 1, 'N'), ('969', 1, 'N'), ('1067', 1, 'S'), ('1445', 1, 'S'), ('1171', 1, 'S'), ('1171', 1, 'N'), ('1445', 1, 'N'), ('80', 1, 'N'), ('1668', 1, 'N'), ('735', 1, 'N')]",[SKR] [I870] [REC] [I969] [I870] [I600] [SKR] [I600] [REC] [I337] [SKR] [I337] [I969] [REC] [I1067] [EA3479] [I1445] [I1171] [EG2] [SKR] [I1171] [I1445] [ED1085] [I80] [I1668] [I735]
8,8,"[('59', 1, 'S'), ('1565', 1, 'N'), ('861', 1, 'N'), ('1863', 1, 'N'), ('1599', 1, 'N'), ('201', 1, 'N'), ('1607', 1, 'N'), ('127', 1, 'S'), ('1533', 1, 'S'), ('1533', 1, 'N'), ('127', 1, 'N')]",[SKR] [EG2] [EG7] [REC] [I59] [EG2] [SKR] [I1565] [I861] [I1863] [I1599] [I201] [I1607] [REC] [EG2] [I127] [I1533] [SKR] [I1533] [I127]
9,9,"[('57', 1, 'N'), ('1453', 1, 'S'), ('1297', 1, 'N')]",[SKR] [EG2] [EG3] [I57] [REC] [EG2] [I1453] [EA1469] [EG3] [SKR] [EA1469] [EG2] [I1297] [EG3] [EG2] [EA369] [REC] [EA724]
