,conversationId,movie_sent,sequence
0,15875,"[('28208', 1, 'S'), ('5772', 1, 'N'), ('22728', 1, 'S'), ('4647', 1, 'S')]",[SKR] [POS] [EG157443] [POS] [EA9013304] [REC] [POS] [I28208] [SKR] [POS] [I5772] [REC] [POS] [I22728] [POS] [I4647]
1,19918,"[('8405', 1, 'S')]",[REC] [POS] [EG200092] [POS] [I8405]
2,5848,"[('51712', 1, 'S'), ('40570', 1, 'S'), ('51712', 1, 'N'), ('40951', 1, 'S'), ('27007', 1, 'S'), ('40951', 1, 'S')]",[SKR] [POS] [EG157443] [REC] [POS] [I51712] [POS] [I40570] [SKR] [POS] [I51712] [POS] [EA132952] [REC] [POS] [I40951] [POS] [I27007] [POS] [I40951] [POS] [EA37628] [POS] [EA9013304]
3,5330,"[('7745', 1, 'N'), ('16575', 1, 'N'), ('32054', 1, 'S'), ('30730', 1, 'S'), ('51456', 1, 'S')]",[SKR] [POS] [I7745] [POS] [I16575] [REC] [POS] [I32054] [POS] [I30730] [POS] [I51456]
4,6092,"[('49794', 1, 'N'), ('37389', 1, 'S'), ('56411', 1, 'S'), ('37389', 1, 'N'), ('56411', 1, 'N'), ('42424', 1, 'S'), ('8593', 1, 'S')]",[SKR] [POS] [EG157443] [POS] [I49794] [REC] [POS] [I37389] [POS] [I56411] [SKR] [POS] [I37389] [POS] [I56411] [REC] [POS] [EG1054574] [POS] [I42424] [POS] [I8593] [POS] [EG1054574]
5,16622,"[('43010', 1, 'S'), ('6469', 1, 'S'), ('59199', 1, 'S'), ('6469', 1, 'S'), ('35081', 1, 'S')]",[REC] [POS] [I43010] [POS] [I6469] [POS] [I59199] [POS] [I6469] [POS] [I35081]
6,14522,"[('20073', 1, 'N'), ('29819', 1, 'N'), ('20073', 1, 'S'), ('29819', 1, 'S'), ('23802', 1, 'S'), ('54194', 1, 'S')]",[SKR] [POS] [EG93204] [POS] [I20073] [POS] [I29819] [REC] [POS] [I20073] [POS] [I29819] [POS] [EG93204] [POS] [EG93204] [POS] [I23802] [POS] [I54194]
7,17917,"[('24379', 1, 'N'), ('64011', 1, 'N'), ('36684', 1, 'S')]",[SKR] [POS] [EG157443] [POS] [I24379] [POS] [I64011] [REC] [POS] [EA23926972] [POS] [EA164119] [POS] [I36684] [POS] [EA2392748] [POS] [EA23926972]
8,5188,"[('61719', 1, 'S'), ('59077', 1, 'S'), ('13916', 1, 'N'), ('58817', 1, 'S')]",[REC] [POS] [I61719] [POS] [I59077] [SKR] [POS] [EA38111] [POS] [I13916] [REC] [POS] [I58817]
9,19156,"[('53517', 1, 'S'), ('34853', 1, 'S'), ('17031', 1, 'S'), ('53517', 1, 'N'), ('34853', 1, 'N'), ('17031', 1, 'N'), ('17031', 1, 'S'), ('50572', 1, 'S'), ('50572', 1, 'N')]",[REC] [POS] [I53517] [POS] [I34853] [POS] [I17031] [SKR] [POS] [I53517] [POS] [I34853] [POS] [I17031] [REC] [POS] [I17031] [POS] [I50572] [SKR] [POS] [I50572]
10,2702,"[('63470', 1, 'N'), ('5657', 1, 'S'), ('8621', 1, 'S')]",[SKR] [POS] [EG188473] [POS] [EG2484376] [POS] [I63470] [REC] [POS] [I5657] [POS] [I8621]
11,11511,"[('45671', 1, 'S'), ('64288', 1, 'S'), ('59095', 1, 'S'), ('64288', 1, 'N')]",[REC] [POS] [I45671] [POS] [I64288] [POS] [I59095] [SKR] [POS] [EG2484376] [POS] [I64288]
12,16591,"[('358', 1, 'S'), ('52851', 1, 'S'), ('64281', 1, 'S'), ('64281', 1, 'N')]",[SKR] [POS] [EG157443] [REC] [POS] [I358] [POS] [I52851] [POS] [EA147077] [POS] [EA193815] [POS] [EG200092] [POS] [EG157443] [POS] [EG643684] [POS] [I64281] [POS] [EA216221] [SKR] [POS] [EA483507] [POS] [I64281] [REC] [POS] [EA132952] [POS] [EA32522] [POS] [EG157443]
13,12359,"[('3', 1, 'N'), ('23159', 1, 'N'), ('25098', 1, 'S'), ('45353', 1, 'S'), ('25098', 1, 'N'), ('7611', 1, 'N')]",[SKR] [POS] [EG188473] [POS] [I3] [POS] [I23159] [REC] [POS] [EG369747] [POS] [I25098] [POS] [I45353] [SKR] [POS] [I25098] [POS] [I7611] [POS] [ED3772]
14,13887,"[('8025', 1, 'S'), ('56431', 1, 'S'), ('61913', 1, 'S'), ('7611', 1, 'N')]",[REC] [POS] [EA1269380] [POS] [I8025] [POS] [I56431] [POS] [I61913] [SKR] [POS] [I7611]
15,14843,"[('8405', 1, 'S'), ('29965', 1, 'S'), ('56456', 1, 'S')]",[REC] [POS] [I8405] [POS] [I29965] [POS] [I56456]
16,17062,"[('55565', 1, 'S'), ('24765', 1, 'S'), ('30952', 1, 'S'), ('13361', 1, 'S'), ('3111', 1, 'S'), ('13361', 1, 'N')]",[SKR] [POS] [EG157443] [REC] [POS] [I55565] [POS] [I24765] [POS] [I30952] [POS] [I13361] [POS] [EG157443] [POS] [I3111] [SKR] [POS] [I13361]
17,15760,"[('21494', 1, 'N'), ('5428', 1, 'S'), ('46305', 1, 'N'), ('5428', 1, 'N'), ('45164', 1, 'S'), ('9682', 1, 'S'), ('60253', 1, 'S')]",[SKR] [POS] [I21494] [POS] [EG157443] [REC] [POS] [EG157443] [POS] [I5428] [SKR] [POS] [I46305] [POS] [I5428] [REC] [POS] [I45164] [POS] [I9682] [POS] [I60253]
18,1053,"[('18767', 1, 'S')]",[REC] [POS] [I18767]
19,19321,"[('16910', 1, 'N'), ('49794', 1, 'N'), ('24639', 1, 'S'), ('58914', 1, 'S')]",[REC] [POS] [EG157443] [POS] [EG1054574] [SKR] [POS] [I16910] [POS] [I49794] [REC] [POS] [EG1054574] [POS] [I24639] [POS] [I58914] [POS] [EA190386] [POS] [EA193815]
20,3805,"[('10107', 1, 'N'), ('9032', 1, 'S'), ('57797', 1, 'S'), ('950', 1, 'S')]",[SKR] [POS] [EG200092] [POS] [I10107] [REC] [POS] [I9032] [POS] [EG200092] [POS] [I57797] [POS] [I950]
21,1736,"[('56411', 1, 'N'), ('3111', 1, 'S'), ('32966', 1, 'S'), ('24765', 1, 'S'), ('8758', 1, 'S'), ('17686', 1, 'S')]",[SKR] [POS] [EG157443] [POS] [I56411] [REC] [POS] [EA40791] [POS] [I3111] [POS] [I32966] [POS] [I24765] [SKR] [POS] [EA192682] [REC] [POS] [EA298672] [POS] [EA9013304] [POS] [I8758] [POS] [I17686] [POS] [EA132952]
22,13086,"[('34878', 1, 'S'), ('25771', 1, 'S'), ('25771', 1, 'N'), ('25771', 1, 'S')]",[SKR] [POS] [EG157394] [REC] [POS] [EG157394] [POS] [I34878] [POS] [I25771] [SKR] [POS] [I25771] [REC] [POS] [I25771]
23,7839,"[('56723', 1, 'N'), ('62717', 1, 'N'), ('62717', 1, 'N'), ('42482', 1, 'S'), ('36338', 1, 'S'), ('22208', 1, 'S'), ('24793', 1, 'S'), ('22208', 1, 'N'), ('24793', 1, 'N'), ('36338', 1, 'N'), ('42482', 1, 'N'), ('1742', 1, 'S'), ('56723', 1, 'S')]",[SKR] [POS] [I56723] [POS] [I62717] [POS] [I62717] [REC] [POS] [I42482] [POS] [I36338] [POS] [I22208] [POS] [I24793] [SKR] [POS] [I22208] [POS] [I24793] [POS] [I36338] [POS] [I42482] [REC] [POS] [I1742] [POS] [I56723]
24,8773,"[('37492', 1, 'N'), ('7658', 1, 'S'), ('38530', 1, 'N'), ('37492', 1, 'S'), ('11339', 1, 'S'), ('30298', 1, 'N'), ('2941', 1, 'S'), ('30298', 1, 'S')]",[SKR] [POS] [I37492] [REC] [POS] [EG7551110] [POS] [EG188473] [POS] [I7658] [SKR] [POS] [I38530] [REC] [POS] [EG7551110] [POS] [I37492] [POS] [I11339] [SKR] [POS] [I30298] [REC] [POS] [I2941] [POS] [I30298]
25,18489,"[('33615', 1, 'S'), ('63310', 1, 'S'), ('21884', 1, 'N'), ('63310', 1, 'N'), ('18767', 1, 'S')]",[SKR] [POS] [EA4770850] [REC] [POS] [I33615] [POS] [I63310] [SKR] [POS] [I21884] [POS] [I63310] [REC] [POS] [EG157443] [POS] [I18767]
26,6753,"[('20675', 1, 'N'), ('40519', 1, 'N'), ('40519', 1, 'N'), ('12236', 1, 'N'), ('51305', 1, 'S'), ('42482', 1, 'N'), ('22208', 1, 'S'), ('20675', 1, 'S'), ('42482', 1, 'S'), ('42482', 1, 'S')]",[SKR] [POS] [I20675] [POS] [I40519] [POS] [I40519] [POS] [I12236] [REC] [POS] [I51305] [SKR] [POS] [I42482] [REC] [POS] [I22208] [POS] [I20675] [POS] [I42482] [POS] [I42482]
27,2339,"[('33764', 1, 'N'), ('23340', 1, 'S'), ('20238', 1, 'S'), ('61039', 1, 'N'), ('58577', 1, 'S'), ('56625', 1, 'S'), ('5980', 1, 'S')]",[SKR] [POS] [I33764] [REC] [POS] [I23340] [POS] [EA229048] [POS] [EA64859705] [POS] [I20238] [SKR] [POS] [I61039] [REC] [POS] [I58577] [POS] [I56625] [POS] [I5980]
28,2713,"[('11343', 1, 'S'), ('39645', 1, 'N'), ('39654', 1, 'S'), ('39645', 1, 'S'), ('57319', 1, 'N'), ('1177', 1, 'S'), ('15513', 1, 'N')]",[SKR] [POS] [EG130232] [POS] [EG1054574] [POS] [EG188473] [REC] [POS] [I11343] [SKR] [POS] [EG200092] [POS] [I39645] [REC] [POS] [EA9013304] [POS] [I39654] [SKR] [POS] [EA191084] [REC] [POS] [I39645] [SKR] [POS] [I57319] [REC] [POS] [I1177] [SKR] [POS] [I15513]
29,3709,"[('37788', 1, 'N'), ('60687', 1, 'S'), ('46903', 1, 'S'), ('46903', 1, 'N'), ('10152', 1, 'S'), ('3670', 1, 'N')]",[SKR] [POS] [I37788] [REC] [POS] [EG2143665] [POS] [I60687] [POS] [I46903] [SKR] [POS] [I46903] [REC] [POS] [I10152] [SKR] [POS] [I3670]
30,18756,"[('10652', 1, 'N'), ('24580', 1, 'N'), ('18757', 1, 'S'), ('51527', 1, 'S'), ('6580', 1, 'S'), ('6580', 1, 'N')]",[SKR] [POS] [I10652] [POS] [I24580] [REC] [POS] [I18757] [POS] [I51527] [POS] [I6580] [SKR] [POS] [I6580]
31,14322,"[('5598', 1, 'N'), ('48445', 1, 'N'), ('30476', 1, 'S'), ('55596', 1, 'S')]",[SKR] [POS] [EA212064] [POS] [I5598] [POS] [I48445] [REC] [POS] [I30476] [POS] [I55596]
32,12290,"[('20954', ['NEG'], 'N'), ('57797', 1, 'S'), ('40913', 1, 'N'), ('57797', 1, 'N'), ('8280', 1, 'S'), ('30879', 1, 'N')]",[SKR] [NEG] [I20954] [REC] [POS] [I57797] [SKR] [POS] [I40913] [REC] [POS] [EG157443] [SKR] [POS] [I57797] [REC] [POS] [I8280] [SKR] [POS] [I30879]
33,10646,"[('54826', 1, 'S'), ('9657', 1, 'S'), ('57064', 1, 'N'), ('29965', 1, 'S'), ('56456', 1, 'S')]",[SKR] [POS] [EG188473] [POS] [EG157443] [POS] [EG188473] [POS] [EG157443] [REC] [POS] [EG157443] [POS] [I54826] [POS] [I9657] [SKR] [POS] [I57064] [REC] [POS] [I29965] [POS] [I56456]
34,2165,"[('16910', 1, 'S'), ('44115', 1, 'N'), ('49794', 1, 'S'), ('54266', 1, 'S')]",[REC] [POS] [I16910] [SKR] [POS] [I44115] [POS] [EA167498] [REC] [POS] [EA167498] [POS] [I49794] [POS] [I54266] [SKR] [POS] [EG1054574]
35,3081,"[('8422', 1, 'S'), ('19261', 1, 'S'), ('19261', 1, 'N'), ('31899', 1, 'S'), ('58914', 1, 'N'), ('23092', 1, 'S'), ('24793', 1, 'N'), ('19736', 1, 'S'), ('50725', 1, 'N'), ('19736', 1, 'N')]",[REC] [POS] [I8422] [POS] [I19261] [SKR] [POS] [I19261] [REC] [POS] [I31899] [SKR] [POS] [I58914] [POS] [EG188473] [POS] [EG157443] [REC] [POS] [EG188473] [POS] [I23092] [SKR] [POS] [I24793] [REC] [POS] [EA132952] [POS] [EG157443] [POS] [I19736] [SKR] [POS] [I50725] [POS] [I19736] [POS] [EA132952]
36,595,"[('7069', 1, 'N'), ('279', 1, 'N'), ('18604', 1, 'S'), ('32054', 1, 'S'), ('16575', 1, 'S')]",[SKR] [POS] [EG3249257] [POS] [I7069] [POS] [I279] [REC] [POS] [I18604] [POS] [I32054] [POS] [I16575]
37,2505,"[('29520', 1, 'S'), ('8405', 1, 'N'), ('6520', 1, 'S'), ('12531', 1, 'S')]",[SKR] [POS] [EG157443] [POS] [EG188473] [POS] [EG319221] [REC] [POS] [I29520] [POS] [EG188473] [POS] [EA208026] [SKR] [POS] [I8405] [REC] [POS] [EG157443] [POS] [EG157443] [POS] [I6520] [POS] [EG157443] [POS] [EA9013304] [POS] [EA9013304] [POS] [EG188473] [POS] [I12531]
38,1102,"[('2373', 1, 'S'), ('38379', 1, 'S')]",[SKR] [POS] [EG7551110] [REC] [POS] [I2373] [POS] [I38379]
39,15326,"[('18202', 1, 'N'), ('38108', 1, 'N'), ('48989', 1, 'S')]",[SKR] [POS] [I18202] [POS] [I38108] [REC] [POS] [I48989]
40,9673,"[('20617', 1, 'S'), ('8942', 1, 'S'), ('53605', 1, 'S')]",[SKR] [POS] [EA44063] [REC] [POS] [I20617] [POS] [I8942] [POS] [I53605] [POS] [EA44063]
41,19446,[],[SKR] [POS] [EG188473]
